gene	transcript	canonical	obs_lof	exp_lof	oe_lof	oe_lof_lower	oe_lof_upper	obs_mis	exp_mis	oe_mis	oe_mis_lower	oe_mis_upper	obs_syn	exp_syn	oe_syn	oe_syn_lower	oe_syn_upper	lof_z	mis_z	syn_z	pLI	pRec	pNull	gene_issues
A4GALT	ENST00000381278	false	8	8.3685e+00	9.5596e-01	5.5800e-01	1.6660e+00	239	2.3507e+02	1.0167e+00	9.1400e-01	1.1320e+00	122	1.0452e+02	1.1673e+00	1.0070e+00	1.3570e+00	1.1873e-01	-9.3008e-02	-1.3390e+00	7.4990e-06	3.0529e-01	6.9470e-01	[]
A4GALT	ENST00000401850	true	8	8.3685e+00	9.5596e-01	5.5800e-01	1.6660e+00	239	2.3507e+02	1.0167e+00	9.1400e-01	1.1320e+00	122	1.0452e+02	1.1673e+00	1.0070e+00	1.3570e+00	1.1873e-01	-9.3008e-02	-1.3390e+00	7.4990e-06	3.0529e-01	6.9470e-01	[]
A4GNT	ENST00000236709	true	3	1.0505e+01	2.8557e-01	1.2900e-01	7.3800e-01	178	1.8861e+02	9.4376e-01	8.3400e-01	1.0690e+00	77	7.4247e+01	1.0371e+00	8.6200e-01	1.2540e+00	2.1581e+00	2.8021e-01	-2.5012e-01	1.7010e-01	8.1734e-01	1.2563e-02	[]
AAAS	ENST00000209873	true	25	3.4512e+01	7.2439e-01	5.2700e-01	1.0120e+00	313	2.9527e+02	1.0600e+00	9.6600e-01	1.1640e+00	114	1.1671e+02	9.7677e-01	8.3800e-01	1.1410e+00	1.5090e+00	-3.7426e-01	1.9650e-01	1.5378e-13	5.3152e-01	4.6848e-01	[]
AAAS	ENST00000394384	false	25	3.2536e+01	7.6839e-01	5.5900e-01	1.0730e+00	302	2.7713e+02	1.0897e+00	9.9100e-01	1.1990e+00	109	1.1004e+02	9.9053e-01	8.4700e-01	1.1610e+00	1.2312e+00	-5.4188e-01	7.7798e-02	3.8953e-14	2.8192e-01	7.1808e-01	[]
AAAS	ENST00000547757	false	10	1.7782e+01	5.6236e-01	3.4600e-01	9.5400e-01	164	1.5177e+02	1.0806e+00	9.5100e-01	1.2300e+00	63	6.3523e+01	9.9176e-01	8.0900e-01	1.2230e+00	1.7200e+00	-3.6005e-01	5.1414e-02	2.8741e-05	9.3658e-01	6.3389e-02	[]
AAAS	ENST00000548931	false	19	2.1558e+01	8.8135e-01	6.1400e-01	1.2930e+00	200	1.9674e+02	1.0166e+00	9.0500e-01	1.1430e+00	71	7.5990e+01	9.3433e-01	7.7100e-01	1.1380e+00	5.1343e-01	-8.4331e-02	4.4820e-01	4.4622e-12	9.8870e-02	9.0113e-01	[]
AAAS	ENST00000550286	false	21	2.6691e+01	7.8678e-01	5.5700e-01	1.1330e+00	234	2.2845e+02	1.0243e+00	9.2000e-01	1.1410e+00	82	8.7160e+01	9.4080e-01	7.8600e-01	1.1300e+00	1.0266e+00	-1.3321e-01	4.3271e-01	3.0735e-12	2.7025e-01	7.2975e-01	[]
AACS	ENST00000261686	false	25	3.2644e+01	7.6584e-01	5.5700e-01	1.0700e+00	354	3.5933e+02	9.8517e-01	9.0200e-01	1.0760e+00	135	1.4905e+02	9.0574e-01	7.8700e-01	1.0450e+00	1.2469e+00	1.0201e-01	9.0097e-01	4.2283e-14	2.9386e-01	7.0614e-01	[]
AACS	ENST00000316519	true	29	3.6093e+01	8.0347e-01	5.9700e-01	1.0960e+00	395	4.0526e+02	9.7468e-01	8.9700e-01	1.0590e+00	161	1.7260e+02	9.3281e-01	8.2000e-01	1.0630e+00	1.1004e+00	1.8491e-01	6.9110e-01	7.7542e-17	1.0865e-01	8.9135e-01	[]
AACS	ENST00000316543	false	9	1.3659e+01	6.5888e-01	3.9600e-01	1.1500e+00	167	1.7727e+02	9.4206e-01	8.3000e-01	1.0710e+00	79	8.0010e+01	9.8738e-01	8.2200e-01	1.1910e+00	1.1750e+00	2.7987e-01	8.8392e-02	2.6544e-05	7.7710e-01	2.2287e-01	[]
AACS	ENST00000441247	false	12	1.2246e+01	9.7994e-01	6.2700e-01	1.5730e+00	160	1.4911e+02	1.0730e+00	9.4300e-01	1.2230e+00	61	6.2368e+01	9.7807e-01	7.9500e-01	1.2100e+00	6.5431e-02	-3.2350e-01	1.3561e-01	1.9931e-08	1.3940e-01	8.6060e-01	[]
AACS	ENST00000536118	false	3	8.1449e+00	3.6833e-01	1.6700e-01	9.5200e-01	85	1.0387e+02	8.1833e-01	6.8600e-01	9.8000e-01	46	4.7277e+01	9.7298e-01	7.6700e-01	1.2440e+00	1.6801e+00	6.7170e-01	1.4545e-01	7.5468e-02	8.7667e-01	4.7860e-02	[]
AACS	ENST00000536752	false	7	6.7840e+00	1.0318e+00	5.8100e-01	1.7740e+00	64	7.2794e+01	8.7919e-01	7.1800e-01	1.0830e+00	20	2.9054e+01	6.8837e-01	4.8300e-01	1.0000e+00	-7.7300e-02	3.7394e-01	1.3151e+00	2.0376e-05	2.8841e-01	7.1157e-01	[]
AACS	ENST00000537477	false	8	4.6459e+00	1.7219e+00	9.1000e-01	1.9510e+00	55	5.5552e+01	9.9006e-01	7.9600e-01	1.2390e+00	21	2.2782e+01	9.2178e-01	6.5300e-01	1.3270e+00	-1.4503e+00	2.6880e-02	2.9233e-01	3.4298e-07	5.6186e-02	9.4381e-01	[]
AACS	ENST00000537564	false	5	3.8898e+00	1.2854e+00	6.3100e-01	1.9040e+00	57	4.8589e+01	1.1731e+00	9.4700e-01	1.4630e+00	24	2.2719e+01	1.0564e+00	7.6400e-01	1.4850e+00	-5.2459e-01	-4.3774e-01	-2.1036e-01	1.8492e-04	2.8548e-01	7.1434e-01	[]
AACS	ENST00000538851	false	6	1.2808e+01	4.6844e-01	2.5500e-01	9.2500e-01	142	1.3846e+02	1.0256e+00	8.9400e-01	1.1790e+00	57	6.1821e+01	9.2202e-01	7.4400e-01	1.1500e+00	1.7730e+00	-1.0920e-01	4.8006e-01	3.3365e-03	9.5379e-01	4.2877e-02	[]
AACS	ENST00000539251	false	3	5.8776e+00	5.1042e-01	2.3100e-01	1.3060e+00	85	8.4735e+01	1.0031e+00	8.4100e-01	1.2010e+00	37	3.6938e+01	1.0017e+00	7.6900e-01	1.3180e+00	1.1062e+00	-1.0429e-02	-8.0243e-03	3.0186e-02	8.1878e-01	1.5104e-01	[]
AACS	ENST00000543665	false	3	4.9398e+00	6.0731e-01	2.7500e-01	1.5100e+00	64	7.2474e+01	8.8308e-01	7.2100e-01	1.0870e+00	30	3.2648e+01	9.1888e-01	6.8600e-01	1.2460e+00	8.1341e-01	3.6109e-01	3.6289e-01	1.9503e-02	7.5121e-01	2.2929e-01	[]
AACS	ENST00000545511	false	11	1.0923e+01	1.0071e+00	6.3200e-01	1.6370e+00	106	1.2128e+02	8.7404e-01	7.4600e-01	1.0270e+00	50	5.2024e+01	9.6110e-01	7.6500e-01	1.2170e+00	-2.1753e-02	5.0321e-01	2.1966e-01	6.6538e-08	1.4671e-01	8.5329e-01	[]
AADAC	ENST00000232892	true	6	1.2151e+01	4.9378e-01	2.6900e-01	9.7500e-01	194	2.0719e+02	9.3633e-01	8.3200e-01	1.0550e+00	86	7.8941e+01	1.0894e+00	9.1400e-01	1.3030e+00	1.6446e+00	3.3247e-01	-6.2204e-01	2.5647e-03	9.3746e-01	5.9979e-02	[]
AADAC	ENST00000488869	false	4	6.3830e+00	6.2666e-01	3.0700e-01	1.4140e+00	107	1.0912e+02	9.8054e-01	8.3700e-01	1.1510e+00	55	4.1496e+01	1.3254e+00	1.0660e+00	1.6580e+00	8.7906e-01	7.3761e-02	-1.6413e+00	6.5242e-03	7.6204e-01	2.3144e-01	[]
AADACL2	ENST00000356517	true	12	1.1471e+01	1.0461e+00	6.6800e-01	1.6620e+00	205	2.1518e+02	9.5267e-01	8.4900e-01	1.0700e+00	79	7.5810e+01	1.0421e+00	8.6800e-01	1.2570e+00	-1.4554e-01	2.5186e-01	-2.8681e-01	1.0332e-08	9.6542e-02	9.0346e-01	[]
AADACL3	ENST00000332530	false	3	2.8265e+00	1.0614e+00	4.5000e-01	1.8740e+00	176	1.5739e+02	1.1182e+00	9.8800e-01	1.2670e+00	68	6.2310e+01	1.0913e+00	8.9700e-01	1.3350e+00	-9.6194e-02	-5.3804e-01	-5.6437e-01	6.0053e-03	5.0988e-01	4.8412e-01	[]
AADACL3	ENST00000359318	true	3	4.1740e+00	7.1873e-01	3.2300e-01	1.6770e+00	212	2.0071e+02	1.0563e+00	9.4400e-01	1.1840e+00	91	8.0697e+01	1.1277e+00	9.5100e-01	1.3420e+00	5.3556e-01	-2.8913e-01	-8.9800e-01	1.3173e-02	6.7569e-01	3.1114e-01	[]
AADACL4	ENST00000376221	true	6	6.7945e+00	8.8306e-01	4.8000e-01	1.6620e+00	275	2.3686e+02	1.1610e+00	1.0510e+00	1.2830e+00	88	9.4775e+01	9.2852e-01	7.8100e-01	1.1090e+00	2.8408e-01	-8.9896e-01	5.4486e-01	1.7273e-04	4.6811e-01	5.3171e-01	[]
AADAT	ENST00000337664	true	6	2.3232e+01	2.5826e-01	1.4000e-01	5.1000e-01	125	2.2699e+02	5.5068e-01	4.7500e-01	6.3900e-01	69	7.5960e+01	9.0838e-01	7.4700e-01	1.1100e+00	3.3320e+00	2.4559e+00	6.2521e-01	1.4714e-01	8.5272e-01	1.4210e-04	[]
AADAT	ENST00000353187	false	6	2.3232e+01	2.5826e-01	1.4000e-01	5.1000e-01	125	2.2699e+02	5.5068e-01	4.7500e-01	6.3900e-01	69	7.5960e+01	9.0838e-01	7.4700e-01	1.1100e+00	3.3320e+00	2.4559e+00	6.2521e-01	1.4714e-01	8.5272e-01	1.4210e-04	[]
AADAT	ENST00000502392	false	1	8.0729e+00	1.2387e-01	4.3000e-02	5.8800e-01	49	9.9479e+01	4.9257e-01	3.9100e-01	6.2500e-01	31	3.4228e+01	9.0570e-01	6.8000e-01	1.2220e+00	2.3200e+00	1.8361e+00	4.3194e-01	6.9141e-01	3.0488e-01	3.7087e-03	[]
AADAT	ENST00000507375	false	2	8.7067e+00	2.2971e-01	9.3000e-02	7.2300e-01	57	1.1354e+02	5.0201e-01	4.0500e-01	6.2600e-01	36	4.0167e+01	8.9627e-01	6.8600e-01	1.1840e+00	2.1183e+00	1.9251e+00	5.1474e-01	3.5166e-01	6.3645e-01	1.1898e-02	[]
AADAT	ENST00000509167	false	8	2.3418e+01	3.4162e-01	1.9900e-01	6.1600e-01	127	2.2960e+02	5.5314e-01	4.7800e-01	6.4100e-01	69	7.6502e+01	9.0193e-01	7.4200e-01	1.1020e+00	2.9693e+00	2.4564e+00	6.7158e-01	6.7832e-03	9.9252e-01	6.9835e-04	[]
AADAT	ENST00000510340	false	2	1.0620e+01	1.8833e-01	7.6000e-02	5.9300e-01	61	1.1541e+02	5.2855e-01	4.2900e-01	6.5400e-01	38	3.8513e+01	9.8668e-01	7.6000e-01	1.2930e+00	2.4651e+00	1.8374e+00	6.4702e-02	5.2886e-01	4.6801e-01	3.1320e-03	[]
AADAT	ENST00000515480	false	6	2.3232e+01	2.5826e-01	1.4000e-01	5.1000e-01	125	2.2699e+02	5.5068e-01	4.7500e-01	6.3900e-01	69	7.5960e+01	9.0838e-01	7.4700e-01	1.1100e+00	3.3320e+00	2.4559e+00	6.2521e-01	1.4714e-01	8.5272e-01	1.4210e-04	[]
AAED1	ENST00000375234	true	10	8.4330e+00	1.1858e+00	7.2400e-01	1.8280e+00	79	8.4225e+01	9.3797e-01	7.8100e-01	1.1310e+00	21	3.1468e+01	6.6735e-01	4.7200e-01	9.6100e-01	-5.0290e-01	2.0652e-01	1.4610e+00	8.2619e-08	8.8859e-02	9.1114e-01	[]
AAED1	ENST00000411939	false	4	5.0011e+00	7.9982e-01	3.9000e-01	1.6840e+00	48	5.5366e+01	8.6695e-01	6.8700e-01	1.1030e+00	15	2.0287e+01	7.3941e-01	4.9400e-01	1.1390e+00	4.1721e-01	3.5915e-01	9.1896e-01	3.1078e-03	6.0864e-01	3.8825e-01	[]
AAED1	ENST00000446045	false	10	8.2286e+00	1.2153e+00	7.4000e-01	1.8450e+00	75	8.0990e+01	9.2604e-01	7.6800e-01	1.1220e+00	21	2.9858e+01	7.0333e-01	4.9800e-01	1.0130e+00	-5.7552e-01	2.4146e-01	1.2692e+00	6.9220e-08	8.0363e-02	9.1964e-01	[]
AAGAB	ENST00000261880	true	13	1.9822e+01	6.5582e-01	4.2600e-01	1.0430e+00	195	1.6366e+02	1.1915e+00	1.0590e+00	1.3420e+00	65	6.0765e+01	1.0697e+00	8.7500e-01	1.3150e+00	1.4281e+00	-8.8882e-01	-4.2537e-01	3.8067e-07	8.1433e-01	1.8567e-01	[]
AAGAB	ENST00000542650	false	12	1.4181e+01	8.4619e-01	5.4100e-01	1.3700e+00	123	1.1008e+02	1.1173e+00	9.6400e-01	1.2980e+00	29	3.8933e+01	7.4486e-01	5.5400e-01	1.0160e+00	5.3980e-01	-4.4661e-01	1.2464e+00	9.2627e-08	3.1412e-01	6.8588e-01	[]
AAGAB	ENST00000560362	false	3	4.6496e+00	6.4521e-01	2.9100e-01	1.5750e+00	30	3.0336e+01	9.8893e-01	7.3900e-01	1.3410e+00	10	1.0448e+01	9.5714e-01	5.8900e-01	1.5990e+00	7.1298e-01	2.2119e-02	1.0847e-01	1.6878e-02	7.2464e-01	2.5848e-01	[]
AAGAB	ENST00000561452	false	12	1.4181e+01	8.4619e-01	5.4100e-01	1.3700e+00	123	1.1008e+02	1.1173e+00	9.6400e-01	1.2980e+00	29	3.8933e+01	7.4486e-01	5.5400e-01	1.0160e+00	5.3980e-01	-4.4661e-01	1.2464e+00	9.2627e-08	3.1412e-01	6.8588e-01	[]
AAK1	ENST00000406297	false	2	4.3111e+01	4.6392e-02	1.8000e-02	1.4600e-01	303	4.5361e+02	6.6798e-01	6.0700e-01	7.3500e-01	169	1.7154e+02	9.8519e-01	8.6800e-01	1.1190e+00	5.8354e+00	2.5654e+00	1.5188e-01	1.0000e+00	4.6712e-06	8.2686e-16	[]
AAK1	ENST00000409068	false	2	3.6145e+01	5.5333e-02	2.2000e-02	1.7400e-01	228	3.5431e+02	6.4350e-01	5.7700e-01	7.1800e-01	132	1.3249e+02	9.9628e-01	8.6400e-01	1.1510e+00	5.2930e+00	2.4344e+00	3.3494e-02	9.9994e-01	6.3232e-05	4.7166e-13	[]
AAK1	ENST00000409085	true	2	4.8574e+01	4.1174e-02	1.6000e-02	1.3000e-01	335	5.0399e+02	6.6470e-01	6.0700e-01	7.2800e-01	186	1.9208e+02	9.6832e-01	8.5800e-01	1.0940e+00	6.2280e+00	2.7308e+00	3.4374e-01	1.0000e+00	6.0554e-07	5.7034e-18	[]
AAMDC	ENST00000304716	false	7	7.3287e+00	9.5515e-01	5.4000e-01	1.7020e+00	60	6.8746e+01	8.7278e-01	7.0800e-01	1.0820e+00	22	2.3401e+01	9.4015e-01	6.7100e-01	1.3420e+00	1.1317e-01	3.8265e-01	2.2668e-01	3.0481e-05	3.5192e-01	6.4805e-01	[]
AAMDC	ENST00000393427	false	7	6.8854e+00	1.0166e+00	5.7300e-01	1.7610e+00	67	6.4154e+01	1.0444e+00	8.5700e-01	1.2800e+00	26	2.2289e+01	1.1665e+00	8.5400e-01	1.6140e+00	-4.0707e-02	-1.2892e-01	-6.1539e-01	2.1993e-05	2.9971e-01	7.0026e-01	[]
AAMDC	ENST00000525034	false	8	8.5278e+00	9.3811e-01	5.4800e-01	1.6430e+00	72	7.2927e+01	9.8728e-01	8.1500e-01	1.2010e+00	28	2.5302e+01	1.1066e+00	8.1900e-01	1.5160e+00	1.6845e-01	3.9400e-02	-4.1994e-01	8.4400e-06	3.2373e-01	6.7626e-01	[]
AAMDC	ENST00000525409	false	4	4.1938e+00	9.5380e-01	4.5800e-01	1.8100e+00	50	4.6562e+01	1.0738e+00	8.5500e-01	1.3590e+00	19	1.6438e+01	1.1559e+00	8.0500e-01	1.6770e+00	8.8178e-02	-1.8280e-01	-4.9473e-01	1.8992e-03	5.0305e-01	4.9505e-01	[]
AAMDC	ENST00000526415	true	7	6.8854e+00	1.0166e+00	5.7300e-01	1.7610e+00	67	6.4154e+01	1.0444e+00	8.5700e-01	1.2800e+00	26	2.2289e+01	1.1665e+00	8.5400e-01	1.6140e+00	-4.0707e-02	-1.2892e-01	-6.1539e-01	2.1993e-05	2.9971e-01	7.0026e-01	[]
AAMDC	ENST00000527134	false	8	8.4877e+00	9.4254e-01	5.5100e-01	1.6490e+00	63	6.4039e+01	9.8377e-01	8.0200e-01	1.2130e+00	21	2.1881e+01	9.5973e-01	6.8000e-01	1.3820e+00	1.5600e-01	4.7111e-02	1.4750e-01	8.1935e-06	3.1903e-01	6.8097e-01	[]
AAMDC	ENST00000532481	false	5	4.6793e+00	1.0685e+00	5.4300e-01	1.8420e+00	48	4.5682e+01	1.0508e+00	8.3300e-01	1.3370e+00	14	1.4729e+01	9.5051e-01	6.2700e-01	1.4820e+00	-1.3817e-01	-1.2444e-01	1.4871e-01	3.2982e-04	3.7900e-01	6.2067e-01	[]
AAMDC	ENST00000533193	false	7	7.0907e+00	9.8721e-01	5.5700e-01	1.7350e+00	69	6.6352e+01	1.0399e+00	8.5500e-01	1.2710e+00	26	2.3149e+01	1.1232e+00	8.2200e-01	1.5560e+00	3.1739e-02	-1.1791e-01	-4.6394e-01	2.5621e-05	3.2335e-01	6.7663e-01	[]
AAMP	ENST00000248450	true	4	2.2073e+01	1.8121e-01	8.8000e-02	4.1500e-01	177	2.5259e+02	7.0074e-01	6.1900e-01	7.9400e-01	101	1.0183e+02	9.9184e-01	8.4300e-01	1.1700e+00	3.5852e+00	1.7254e+00	6.4479e-02	7.5169e-01	2.4829e-01	1.6526e-05	[]
AAMP	ENST00000420660	false	4	2.0625e+01	1.9394e-01	9.5000e-02	4.4400e-01	166	2.4085e+02	6.8924e-01	6.0700e-01	7.8400e-01	92	9.7584e+01	9.4278e-01	7.9600e-01	1.1210e+00	3.4116e+00	1.7496e+00	4.4259e-01	6.3778e-01	3.6216e-01	5.2479e-05	[]
AAMP	ENST00000422731	false	3	8.4215e+00	3.5623e-01	1.6100e-01	9.2100e-01	70	1.1278e+02	6.2070e-01	5.1100e-01	7.5700e-01	42	4.6672e+01	8.9989e-01	7.0200e-01	1.1640e+00	1.7411e+00	1.4613e+00	5.3546e-01	8.3557e-02	8.7526e-01	4.1188e-02	[]
AAMP	ENST00000444053	false	4	2.1920e+01	1.8248e-01	8.9000e-02	4.1800e-01	178	2.5281e+02	7.0410e-01	6.2200e-01	7.9700e-01	101	1.0210e+02	9.8922e-01	8.4100e-01	1.1670e+00	3.5672e+00	1.7068e+00	8.5301e-02	7.4086e-01	2.5912e-01	1.8723e-05	[]
AAMP	ENST00000447885	false	1	1.0394e+01	9.6213e-02	3.3000e-02	4.5600e-01	81	1.1354e+02	7.1338e-01	5.9500e-01	8.5800e-01	45	4.4414e+01	1.0132e+00	7.9700e-01	1.2990e+00	2.7155e+00	1.1080e+00	-6.8802e-02	8.4334e-01	1.5612e-01	5.4615e-04	[]
AANAT	ENST00000250615	true	5	8.2894e+00	6.0318e-01	3.1400e-01	1.2650e+00	150	1.5432e+02	9.7200e-01	8.5000e-01	1.1130e+00	67	6.2828e+01	1.0664e+00	8.7500e-01	1.3070e+00	1.0648e+00	1.2619e-01	-4.1205e-01	2.7098e-03	8.0709e-01	1.9020e-01	[]
AANAT	ENST00000392492	false	4	5.9250e+00	6.7510e-01	3.3100e-01	1.5040e+00	131	1.3143e+02	9.9676e-01	8.6400e-01	1.1520e+00	62	5.5668e+01	1.1138e+00	9.0700e-01	1.3760e+00	7.3704e-01	1.3488e-02	-6.6450e-01	5.1689e-03	7.1653e-01	2.7830e-01	[]
AANAT	ENST00000585649	false	3	4.7954e+00	6.2560e-01	2.8300e-01	1.5430e+00	91	9.4627e+01	9.6167e-01	8.1100e-01	1.1450e+00	44	4.0958e+01	1.0743e+00	8.4300e-01	1.3810e+00	7.6409e-01	1.3525e-01	-3.7221e-01	1.8160e-02	7.3831e-01	2.4353e-01	[]
AAR2	ENST00000320849	false	9	1.1672e+01	7.7111e-01	4.6400e-01	1.3430e+00	190	2.2968e+02	8.2724e-01	7.3400e-01	9.3300e-01	83	8.9761e+01	9.2468e-01	7.7300e-01	1.1100e+00	7.2879e-01	9.4985e-01	5.5872e-01	8.8549e-06	5.4524e-01	4.5475e-01	[]
